name,address,rubrics,rating,text,review_date,source,author
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",1,"Что у вас с персоналом? ресепшен и в отеле было все отлично, но служба которая принимает номера, уборщики и начальник службы безопасности, просто ужасно работ",2025-07-24,2gis,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",1,"Что у вас с персоналом? На ресепшен и в отеле было все отлично, но служба которая принимает номера, уборщики и начальник службы безопасности, просто ужасно работают. Разбили зеркало и решили повесить на нас 16 тыс.рублей. Сляпали акт какой-то, спустя 6 часов после нашего выселения, и просто требовали деньги. Это",2025-07-24,2gis,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",2,Отличное расположения для тех кто приехал не надолго. Очень хорошие завтраки. Номера большие,2026-03-25,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",3,"Всё супер, вот только вынзд с подъземной стоянки очень узкий и выезжать под 90°, а на моём автобусе очень тяжело",2026-03-29,2gis,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",4,ЖЖ 5 дней назад Отличные номера,2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",5,Хороший отель. Всё чисто и приятно. Кормят вкусно. Рекомендую,2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",4,"Останавливались по пути в горы ночь и по пути домой, тоже на ночь с разницей в две недели. К сожалению, отлучение от международной сети также означает и снижение качества предоставляемых сервисов. Начиная от неприветливых сотрудников на ресепшен, заканчивая «уставшими» матрасами",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",5,"Хороший, современный отель! Обслуживание отличное",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",5,"Отличный отель. Удобный матрас, спишь прекрасно. Вкусные завтраки. Приветливый персонал. Рекомендую",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",4,"В целом отель хороший, но завтраки отвратительны и однообразные. Персонал приветливый, вежливый. Номера в хорошем состоянии",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",5,"Замечательный отель. Всем рекомендую. Номера хорошие, завтраки вкусные. Круглосуточная доставка с ресторана в номер не может не радовать. Все супер!",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",3,"Лучший отель в Ростове для ???, кто путешествует на машине на Кавказ и обратно! Идеальное место расположение, не надо заезжать в центр города. Есть большая охраняемая парковка. Очень хорошие завтраки",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",1,"Останавливались в этом отеле с 16.02. Отель с очень уставшим номерным фондом, завтраки невкусные, отношение персонала — по настроению. Уехали в другой отель",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",5,"Хорошая гостиница, неплохой ассортимент на завтраке по системе шведский стол, номера еще не убитые, аккуратно и чисто",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",5,"????? тут бываю на различных мероприятия в конференц-залах. Всегда чисто, аккуратно, в ресторане вкусные блюда, готовят достаточно быстро, если не сильно много народа. Однажды очень долго ждала свой обед, т.к. зал был переполнен. В остальном все ОТЛИЧНО, приветливый персонал, комфортные залы. Парковка есть и крытая и на улице, всегда есть",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",5,Отличный современный отель . Для путешествующих на авто идеально,2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",4,"Всё понравилось, останавливались дважды по дороге в Приэльбрусье. Отель очень приятный, чистый, современный В номере есть всё необходимое, честные 4 звёзды Просторный номер, удобные матрасы Будем останавливаться в нём в",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",5,"Чисто, ?????, вкусная еда, есть паркинг",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",3,"Хороший отель, всё есть для автономной жизни. Чистый номер со свежим ремонтом. Убирались хорошо, вопросов не возникало. Да, рядом нет никаких магазинов, но в 10 минутах через дорогу есть большой тц, где в принципе всё что нужно есть. Ресторан при отеле тоже хороший, перепробовал почти всё меню - все блюда хорошем уровне. Особо порадовала уха из",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",4,"Огромное спасибо отелю Кортъярд за прием 5*. Чистейшие номера, все необходимые средства в номере, халаты . Шикарные завтраки, очень большой ассортимент блюд, очень приятный и внимательный персонал . ®®",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",5,Все хорошо. Останавливаемся не первый раз. Есть подземные паркинг. Рекомендую,2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",3,"Остановились в отеле на пути из Анапы в Москву, была сильная непогода - безумный снегопад. Как же я рада мы остановились именно тут. Есть наземная и подземная парковки (подземная 400 руб сутки), можно останавливаться с животными. Отель превзошел мои ожидания от 4 звезд. Современный дизайн, все очень новое и стильное, вкусные ароматы",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",5,"5 баллов за все: номер, еда ‚ удобное распрложение. При планировании поездок на юг всегда останавливаемся в данном месте. P.S. Борщ в лобби-ресторане просто пушка",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",5,"Отличный отель, локация, паркинга хватило, даже в НГ Пик, отелем пользуются для трансфера Москвичи))) номера даже стандарт выше всяких похвал, хороший завтрак, приветливый персонал, интерьер лобби, шумоизоляция. Отдельное внимание Ресторану при отеле с Шеф Поваром!!! Вечером даже после 22-30 смогли поужинать после суток в дороге. 5",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",5,"Возвращались домой, но силы покинули нас и решили остановиться в Ростове. Выбор пал на данную гостиницу в первую очередь из-за того, что она Pet-friendly. Хорошая гостиница, уютные номера, есть подземная парковка. Вечером поужинали в ресторане на первом этаже. Вкусно. Завтрак мне показался несколько скудным, но в целом позавтракать можно",2026-03-29,yandex,
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",5,"Все понравилось, особенно сон с дороги. Ресторан вроде хороший, по отдельным блюдам есть претензии",2026-03-29,yandex,maxim lee
Кортъярд Отель,"Ростов-на-Дону, Левобережная 2К","hotel, гостиница, отель",2,"Заехали в отель на одни сутки, персонал очень вежливые, есть приветственные напиток (вода (© фруктами), быстро заселили, дали номер с учетом пожеланий! Сам номер был очень хорошим, но немного усталым в некоторых местах (стол ободран), также к сожалению TV не поддерживал онлайн кинотеатры(. На ужин, мы посетили ресторан на первом этаже",2026-03-29,yandex,
